Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part Number

"MTF185-104SY1","Female Header 4 Position 2.54mm Pitch Single Row Through Hole","","RHDR4W64P0X254_1X4_1041X250X865P","MTF185-104SY1","1","C358718"
"10uF","10uF ±10% 25V Ceramic Capacitor X5R 0805","C1","CAPC2012X145N","CL21A106KAYNNNE","1","C15850"
"100nF","100nF ±10% 50V Ceramic Capacitor X7R 0805","C2, C4, C6","CAPC2012X70","CC0805KRX7R9BB104","3","C49678"
"1uF","1uF ±10% 50V Ceramic Capacitor X7R 0805","C3","CAPC2012X135N","CL21B105KBFNNNE","1","C28323"
"22uF","22uF ±10% 16V Ceramic Capacitor X5R 1206","C5","CAPC3216X180N","CL31A226KOHNNNE","1","C90146"
"470uF","470uF 25V Aluminum Electrolytic Capacitors Through Hole,D10xL12.5mm 10000hrs@105?","C7","CAPPRD500W60D1025H1400","25YXJ470M10X12.5","1","C88740"
"ESD5Z3.3T1G","14.1VC Clamp 11.2A Ipp TVS DIODE SOD-523","D1, D2, D3, D4","SODFL1608X70N","ESD5Z3.3T1G","4","C61148"
"KT-0805W","White LED Indication - Discrete 2.6V~3.2V 0805","D5, D6","LED_KT-0805W","KT-0805W","2","C34499"
"SS34","Diode Independent 40V 3A Surface Mount SMA(DO-214AC)","D7, D8","DIOM5127X241N","SS34 SMA","2","C8678"
"RGEF500","Polymeric PTC Resettable Fuse 16V 5A Through Hole P=5.08mm","F1","RGEF500","RGEF500","1","C468988"
"ESP32-WROOM-32E-N4","2.4GHz On-board PCB Antenna -98dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS","IC1","ESP32WROOM32EN4","ESP32-WROOM-32E-N4","1","C701341"
"WJ500V-5.08-2P","2 Position Wire to Board Terminal Block Through Hole 5.08mm","J1, J2","WJ500V5082P","WJ500V-5.08-2P","2","C8465"
"A2001WV-S-2P","Connector Header 2 position 2mm Pitch","J4, J7, J8","A2001WVS2P","A2001WV-S-2P","3","C225226"
"A2001WV-S-4P","Connector Header 4 position 2mm Pitch","J5","A2001WVS4P","A2001WV-S-4P","1","C225228"
"A2541WV-5P","Pin Header 5 Position 2.54mm Pitch Single Row Through Hole -40?~+105?","J6","HDRV5W64P0X254_1X5_1270X254X899P","A2541WV-5P","1","C225480"
"AO3400A","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3","Q1, Q2","SOT95P280X125-3N","AO3400A","2","C20917"
"10K","10kO ±1% 125mW 0805 Thick Film Resistor","R1, R4, R11, R12, R13, R16, R17","RESC2012X65N","0805W8F1002T5E","7","C17414"
"0O","0O ±1% 125mW 0805 Thick Film Resistor","R2, R3, R5, R7","RESC2012X65N","0805W8F0000T5E","4","C17477"
"1O","1O ±1% 125mW 0805 Thick Film Resistor","R6","RESC2012X65N","0805W8F100KT5E","1","C25271"
"330","330O ±1% 125mW 0805 Thick Film Resistor","R8, R9, R10","RESC2012X65N","0805W8F3300T5E","3","C17630"
"100","100O ±1% 125mW 0805 Thick Film Resistor","R14, R15","RESC2012X65N - duplicate","0805W8F1000T5E","2","C17408"
"4-1437565-2","Switch Tactile OFF (ON) SPST Round Button Gull Wing 0.05A 24VDC 1VA 9.18N SMD T/R","SW1, SW2","SW_4-1437565-2","4-1437565-2","2","C2680629"
"TLV1117-33CDCYR","3.3V 15V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS","U1","SOT230P700X180-4N","TLV1117-33CDCYR","1","C91728"
